工作节点id,机器id,机器name,upload_bandwidth,download_bandwidth,network_latency,free_memory,cuda_version,gpu_free_memory,gpu_name
3223,5c3d3900-26c3-4951-b819-dce7e8273ede,WIN-20240618WGY,0.0,0.0,28.0,3.0078048706054688,Unknown,1.96295166015625,NVIDIA GeForce MX130
3224,bbef7919-e2c3-4c1e-8441-926f80ff4837,WIN-20240719XNZ,0.0,0.0,26.0,12.685455322265625,Unknown,1.6434974670410156,NVIDIA GeForce GT 720
3226,5dc44e4c-1492-4986-829f-e6922fb0d2b1,Administrator,0.0,0.0,43.0,21.79296875,12.6,5.689994812011719,NVIDIA GeForce RTX 3060 Ti
3228,e8df4077-a841-4761-9cfa-7c2179dd98c3,DESKTOP-UJT6M2T,0.0,0.0,30.0,24.183212280273438,12.5,8.047144889831543,NVIDIA GeForce RTX 3060
3229,3fd42db3-815e-41db-8584-49aa957e311e,OS-20240221PWIP,0.0,0.0,37.0,51.138980865478516,12.5,22.756229400634766,NVIDIA GeForce RTX 3090 Ti
3232,062c1855-7726-411f-b803-3d5d9a3efc37,WIN-20240708ITZ,0.0,0.0,37.0,2.6561431884765625,12.4,1.0526809692382812,NVIDIA GeForce GTX 1650
3238,775c8eb8-e560-415f-a535-e3fa5ee3553e,LAPTOP-OMSQMB0C,0.0,0.0,33.0,5.190643310546875,10.2,1.9332809448242188,NVIDIA GeForce MX350
3241,6d7cb1dd-b6ab-4419-ae07-9401ce957112,qqzzlzy,0.0,0.0,43.0,8.020736694335938,12.0,3.8857421875,NVIDIA GeForce RTX 3050 Laptop GPU
3243,391c8cba-a7af-4a1a-a26e-d9bff58ae818,computer,0.0,0.0,23.0,36.05870819091797,12.5,17.600975036621094,NVIDIA GeForce RTX 4090
3244,c0fa9f1d-eb75-4be1-b784-4e44f37069b8,DESKTOP-R1RBRL4,0.0,0.0,18.0,4.848079681396484,12.5,4.857093811035156,NVIDIA GeForce RTX 3060 Ti
3248,628b6674-22b5-40f9-8810-63c9cedc249b,DESKTOP-BPPE0FS,0.0,0.0,317.0,23.928001403808594,12.5,12.611045837402344,NVIDIA GeForce RTX 4090
3249,c59c326a-9f19-4684-a4f7-a7bd08ecd642,DESKTOP-OJNCK7R,0.0,0.0,30.0,49.32606506347656,12.5,10.81972885131836,NVIDIA GeForce RTX 3090
3251,7a01f9e2-4803-428b-886d-2c124760b2fb,Apricity,0.0,0.0,9.0,12.695354461669922,12.6,21.167692184448242,NVIDIA GeForce RTX 3090
3252,14b88639-f229-4da8-bd1f-4eecb6e1caa1,PLAYERS-N35U781,0.0,0.0,108.0,18.789154052734375,Unknown,14.3460111618042,NVIDIA GeForce RTX 4080 SUPER
3254,b4435b83-43c2-4d85-a104-165da5149830,Icraio,0.0,0.0,32.0,22.804664611816406,12.6,10.099536895751953,NVIDIA GeForce RTX 4070
3261,5c7f5428-6019-48f5-a7b9-ca4481da0ef6,DESKTOP-T32LGGG,0.0,0.0,46.0,115.7232666015625,12.6,10.32192611694336,NVIDIA GeForce RTX 4070
3262,8afb4397-c663-43da-a2b3-8af90831c6ae,lu-laptop,0.0,0.0,21.0,23.262432098388672,12.6,7.7705078125,NVIDIA GeForce RTX 4060 Laptop GPU
3263,5ed52e1b-035b-4336-b99a-3c70c9bfcd68,DESKTOP-S1L7QNF,0.0,0.0,35.0,24.762157440185547,12.2,22.447734832763672,NVIDIA GeForce RTX 3090
3264,c9a3ef12-a8fd-4b16-b1a3-cb9494a42a05,Satan-PC,0.0,0.0,47.0,117.62097549438477,12.6,23.106929779052734,NVIDIA GeForce RTX 4090
